row,slope,intercept,r2,rmse
0,0.004775014690361267,430.81792844291147,0.9999994936256331,0.0010044302995380965
1,0.004774930791844561,430.8370736714559,0.999999487589521,0.0010103813480260022
2,0.00477493094361314,430.83703281257624,0.999999487336877,0.001010630433798885
3,0.0047749108803353145,430.84185082884903,0.9999994857426744,0.0010121963150659153
4,0.0047749113278173425,430.84186247496206,0.9999994854490675,0.0010124853175269987
5,0.004774931135391365,430.83705542932546,0.9999994871778708,0.001010787189581428
6,0.004774931003851689,430.83706180520176,0.9999994874813687,0.0010104880157523353
7,0.004774932048181291,430.837088331574,0.9999994873573045,0.001010610532689164
8,0.004774931772863611,430.83709488841464,0.9999994871920449,0.0010107733556502928
9,0.004774951738911198,430.8322687382813,0.999999489010345,0.0010089839964847267
10,0.0047749515496480046,430.83228650110505,0.9999994891100749,0.0010088854899153081
11,0.004774952757648939,430.8323042816502,0.9999994888419897,0.001009150412556037
12,0.004774952463331927,430.83232311383404,0.9999994888413677,0.001009150964448264
13,0.0047749718946135085,430.8274852841083,0.9999994903025101,0.0010077117077712295
14,0.004774972872783054,430.82750838729027,0.9999994902238348,0.0010077896848018435
15,0.004774972945258891,430.8275306060782,0.9999994903942815,0.0010076212057594047
16,0.004774993234624191,430.82269155619286,0.9999994919469297,0.001006089317123492
17,0.004774993392092182,430.8227145225231,0.9999994921351518,0.0010059029662439875
18,0.004774993548386933,430.8227371085939,0.9999994923459696,0.0010056941992282638
19,0.004775013472804367,430.8179013410824,0.9999994937626145,0.0010042941779094578
20,0.00477501411793217,430.81790260289637,0.9999994937422751,0.0010043144884352335
21,0.004775012899202632,430.8179130309641,0.9999994938128258,0.001004244250359431
22,0.004775013876421367,430.8179168865855,0.9999994935661705,0.0010044891008564837
23,0.004775013961861283,430.81792114952356,0.9999994936899265,0.0010043663789553602
24,0.0047750139031879895,430.81793438265987,0.9999994937907136,0.0010042663959598291
25,0.004775014013661092,430.8179279687311,0.9999994935503213,0.001004504847728078
26,0.004775013856863635,430.81793640830796,0.9999994935151959,0.0010045396484309962
27,0.004775014497856358,430.8179380628621,0.9999994936331376,0.001004422816152593
28,0.004775014493106674,430.8179384070884,0.9999994934323905,0.0010046218952074616
29,0.004775014078593229,430.81792932223715,0.9999994934693227,0.0010045851854054817
30,0.00477501328069127,430.8179220838795,0.9999994938525818,0.0010042048931211422
31,0.004775012899202632,430.8179130309641,0.9999994938128258,0.001004244250359431
32,0.0047750138598249845,430.81790799859016,0.9999994935387235,0.0010045163169472421
33,0.0047750133705450086,430.8179012566693,0.9999994939053591,0.001004152555113114
34,0.004775014491542068,430.81789793913873,0.9999994934583847,0.0010045961187765177
35,0.004774993874107931,430.8227528111283,0.9999994921201675,0.0010059179070770698
36,0.004774993897801183,430.8227447911967,0.9999994918051597,0.0010062298195482294
37,0.004774992977355431,430.822738797161,0.9999994922241803,0.0010058147079059104
38,0.004774993756817393,430.82272342776304,0.9999994918597609,0.001006175732954361
39,0.004774993607172324,430.82272239102514,0.999999491887915,0.001006147826799346
40,0.004774993400530563,430.82272013344124,0.9999994920718828,0.0010059656230939373
41,0.004774993222442922,430.82272167961105,0.9999994920748935,0.0010059626042283145
42,0.004774993381140077,430.82271536796867,0.9999994920659395,0.001005971504403366
43,0.004774972314044451,430.82750534300703,0.999999490546598,0.001007470476815349
