row,slope,intercept,r2,rmse
0,0.0047750146903613845,430.81792844291135,0.9999994936256331,0.0010044302995379428
1,0.004774930791844913,430.8370736714556,0.999999487589521,0.001010381348025913
2,0.004774930943613316,430.83703281257596,0.999999487336877,0.0010106304337991093
3,0.004774910880335299,430.84185082884903,0.9999994857426744,0.0010121963150657354
4,0.004774911327817937,430.8418624749616,0.9999994854490675,0.0010124853175276947
5,0.004774931135391534,430.83705542932535,0.9999994871778708,0.0010107871895815592
6,0.004774931003851314,430.8370618052018,0.9999994874813687,0.0010104880157480263
7,0.004774932048181548,430.8370883315739,0.9999994873573045,0.0010106105326889835
8,0.0047749317728635905,430.8370948884145,0.9999994871920449,0.0010107733556502802
9,0.004774951738911356,430.8322687382811,0.999999489010345,0.0010089839964846617
10,0.004774951549647811,430.83228650110505,0.9999994891100749,0.0010088854899154625
11,0.004774952757648931,430.83230428164995,0.9999994888419897,0.0010091504125581514
12,0.004774952463332321,430.8323231138336,0.9999994888413677,0.0010091509644480638
13,0.004774971894613651,430.82748528410826,0.9999994903025101,0.001007711707771135
14,0.004774972872783007,430.82750838729015,0.9999994902238348,0.0010077896848018101
15,0.004774972945258423,430.8275306060784,0.9999994903942815,0.0010076212057598222
16,0.004774993234624388,430.8226915561927,0.9999994919469297,0.0010060893171234522
17,0.004774993392092638,430.8227145225227,0.9999994921351518,0.0010059029662438615
18,0.004774993548387212,430.8227371085937,0.9999994923459696,0.0010056941992279528
19,0.004775013472804842,430.8179013410821,0.9999994937626145,0.0010042941779091275
20,0.004775014117932724,430.81790260289614,0.9999994937422751,0.0010043144884351765
21,0.004775012899202747,430.81791303096395,0.9999994938128258,0.0010042442503594158
22,0.004775013876421993,430.8179168865852,0.9999994935661705,0.001004489100856611
23,0.004775013961861327,430.8179211495235,0.9999994936899265,0.0010043663789552706
24,0.004775013903188037,430.8179343826599,0.9999994937907136,0.001004266395959755
25,0.004775014013661723,430.8179279687307,0.9999994935503213,0.0010045048477279569
26,0.004775013856863828,430.81793640830784,0.9999994935151959,0.0010045396484311333
27,0.0047750144978568115,430.8179380628618,0.9999994936331376,0.0010044228161525605
28,0.0047750144931070285,430.81793840708815,0.9999994934323905,0.0010046218952074546
29,0.004775014078593409,430.817929322237,0.9999994934693227,0.0010045851854054303
30,0.004775013280691302,430.81792208387947,0.9999994938525818,0.0010042048931210225
31,0.004775012899202747,430.81791303096395,0.9999994938128258,0.0010042442503594158
32,0.0047750138598255335,430.81790799858976,0.9999994935387235,0.0010045163169472573
33,0.004775013370545483,430.8179012566691,0.9999994939053591,0.0010041525551132426
34,0.004775014491542321,430.8178979391386,0.9999994934583847,0.0010045961187757004
35,0.004774993874108279,430.82275281112794,0.9999994921201675,0.001005917907077225
36,0.004774993897801246,430.8227447911965,0.9999994918051597,0.0010062298195481175
37,0.0047749929773557905,430.8227387971606,0.9999994922241803,0.0010058147079058603
38,0.004774993756817553,430.82272342776275,0.9999994918597609,0.0010061757329541793
39,0.004774993607172309,430.8227223910251,0.999999491887915,0.001006147826799444
40,0.00477499340053048,430.822720133441,0.9999994920718828,0.0010059656230951214
41,0.004774993222442823,430.82272167961116,0.9999994920748935,0.0010059626042284084
42,0.0047749933811400734,430.8227153679687,0.9999994920659395,0.0010059715044032152
43,0.004774972314044667,430.8275053430067,0.999999490546598,0.0010074704768153616
